1	13	0	1685700.00	2026-03-19 13:17:39.916
2	13	1	1685700.00	2026-03-19 13:17:39.916
3	13	2	1738800.00	2026-03-19 13:17:39.916
4	13	3	1738800.00	2026-03-19 13:17:39.916
5	13	4	1793500.00	2026-03-19 13:17:39.916
6	13	5	1793500.00	2026-03-19 13:17:39.916
7	13	6	1850000.00	2026-03-19 13:17:39.916
8	13	7	1850000.00	2026-03-19 13:17:39.916
9	13	8	1908300.00	2026-03-19 13:17:39.916
10	13	9	1908300.00	2026-03-19 13:17:39.916
11	13	10	1968400.00	2026-03-19 13:17:39.916
12	13	11	1968400.00	2026-03-19 13:17:39.916
13	13	12	2030400.00	2026-03-19 13:17:39.916
14	13	13	2030400.00	2026-03-19 13:17:39.916
15	13	14	2094300.00	2026-03-19 13:17:39.916
16	13	15	2094300.00	2026-03-19 13:17:39.916
17	13	16	2160300.00	2026-03-19 13:17:39.916
18	13	17	2160300.00	2026-03-19 13:17:39.916
19	13	18	2228300.00	2026-03-19 13:17:39.916
20	13	19	2228300.00	2026-03-19 13:17:39.916
21	13	20	2298500.00	2026-03-19 13:17:39.916
22	13	21	2298500.00	2026-03-19 13:17:39.916
23	13	22	2370900.00	2026-03-19 13:17:39.916
24	13	23	2370900.00	2026-03-19 13:17:39.916
25	13	24	2445500.00	2026-03-19 13:17:39.916
26	13	25	2445500.00	2026-03-19 13:17:39.916
27	13	26	2522600.00	2026-03-19 13:17:39.916
28	13	27	2522600.00	2026-03-19 13:17:39.916
29	13	28	0.00	2026-03-19 13:17:39.916
30	13	29	0.00	2026-03-19 13:17:39.916
31	13	30	0.00	2026-03-19 13:17:39.916
32	13	31	0.00	2026-03-19 13:17:39.916
33	13	32	0.00	2026-03-19 13:17:39.916
34	13	33	0.00	2026-03-19 13:17:39.916
35	15	0	0.00	2026-03-19 13:17:39.916
36	15	1	0.00	2026-03-19 13:17:39.916
37	15	2	0.00	2026-03-19 13:17:39.916
38	15	3	1840800.00	2026-03-19 13:17:39.916
39	15	4	1840800.00	2026-03-19 13:17:39.916
40	15	5	1898800.00	2026-03-19 13:17:39.916
41	15	6	1898800.00	2026-03-19 13:17:39.916
42	15	7	1958600.00	2026-03-19 13:17:39.916
43	15	8	1958600.00	2026-03-19 13:17:39.916
44	15	9	2020300.00	2026-03-19 13:17:39.916
45	15	10	2020300.00	2026-03-19 13:17:39.916
46	15	11	2083900.00	2026-03-19 13:17:39.916
47	15	12	2083900.00	2026-03-19 13:17:39.916
48	15	13	2149600.00	2026-03-19 13:17:39.916
49	15	14	2149600.00	2026-03-19 13:17:39.916
50	15	15	2217300.00	2026-03-19 13:17:39.916
51	15	16	2217300.00	2026-03-19 13:17:39.916
52	15	17	2287100.00	2026-03-19 13:17:39.916
53	15	18	2287100.00	2026-03-19 13:17:39.916
54	15	19	2359100.00	2026-03-19 13:17:39.916
55	15	20	2359100.00	2026-03-19 13:17:39.916
56	15	21	2433400.00	2026-03-19 13:17:39.916
57	15	22	2433400.00	2026-03-19 13:17:39.916
58	15	23	2510100.00	2026-03-19 13:17:39.916
59	15	24	2510100.00	2026-03-19 13:17:39.916
60	15	25	2589100.00	2026-03-19 13:17:39.916
61	15	26	2589100.00	2026-03-19 13:17:39.916
62	15	27	2670700.00	2026-03-19 13:17:39.916
63	15	28	0.00	2026-03-19 13:17:39.916
64	15	29	0.00	2026-03-19 13:17:39.916
65	15	30	0.00	2026-03-19 13:17:39.916
66	15	31	0.00	2026-03-19 13:17:39.916
67	15	32	0.00	2026-03-19 13:17:39.916
68	15	33	0.00	2026-03-19 13:17:39.916
69	11	0	0.00	2026-03-19 13:17:39.916
70	11	1	0.00	2026-03-19 13:17:39.916
71	11	2	0.00	2026-03-19 13:17:39.916
72	11	3	1918700.00	2026-03-19 13:17:39.916
73	11	4	1918700.00	2026-03-19 13:17:39.916
74	11	5	1979100.00	2026-03-19 13:17:39.916
75	11	6	1979100.00	2026-03-19 13:17:39.916
76	11	7	2041500.00	2026-03-19 13:17:39.916
77	11	8	2041500.00	2026-03-19 13:17:39.916
78	11	9	2105800.00	2026-03-19 13:17:39.916
79	11	10	2105800.00	2026-03-19 13:17:39.916
80	11	11	2172100.00	2026-03-19 13:17:39.916
81	11	12	2172100.00	2026-03-19 13:17:39.916
82	11	13	2240500.00	2026-03-19 13:17:39.916
83	11	14	2240500.00	2026-03-19 13:17:39.916
84	11	15	2311100.00	2026-03-19 13:17:39.916
85	11	16	2311100.00	2026-03-19 13:17:39.916
86	11	17	2383900.00	2026-03-19 13:17:39.916
87	11	18	2383900.00	2026-03-19 13:17:39.916
88	11	19	2458900.00	2026-03-19 13:17:39.916
89	11	20	2458900.00	2026-03-19 13:17:39.916
90	11	21	2536400.00	2026-03-19 13:17:39.916
91	11	22	2536400.00	2026-03-19 13:17:39.916
92	11	23	2616300.00	2026-03-19 13:17:39.916
93	11	24	2616300.00	2026-03-19 13:17:39.916
94	11	25	2698700.00	2026-03-19 13:17:39.916
95	11	26	2698700.00	2026-03-19 13:17:39.916
96	11	27	2783700.00	2026-03-19 13:17:39.916
97	11	28	0.00	2026-03-19 13:17:39.916
98	11	29	0.00	2026-03-19 13:17:39.916
99	11	30	0.00	2026-03-19 13:17:39.916
